Date,Open,High,Low,Close,Volume,Adj Close
2015-05-19,31.80,31.93,31.61,31.70,1913300,31.70
2015-05-18,31.25,31.61,31.07,31.41,2658800,31.41
2015-05-15,30.88,31.13,30.67,31.07,3025600,31.07
2015-05-14,30.77,30.84,30.63,30.70,1645500,30.70
2015-05-13,30.86,31.11,30.69,30.75,1812200,30.75
2015-05-12,30.63,30.89,30.60,30.68,3742800,30.68
2015-05-11,31.59,31.67,31.23,31.30,2953800,31.30
2015-05-08,31.13,31.25,30.99,31.22,2502400,31.22
2015-05-07,31.03,31.12,30.64,30.82,3765400,30.82
2015-05-06,30.87,30.92,30.51,30.62,2939300,30.62
2015-05-05,31.16,31.35,31.10,31.22,2368000,31.22
2015-05-04,31.75,32.00,31.54,31.54,2867600,31.54
2015-05-01,31.03,31.26,30.99,31.19,1707700,31.19
2015-04-30,30.97,31.07,30.87,30.98,3527300,30.98
2015-04-29,31.08,31.34,31.05,31.15,3759400,31.15
2015-04-28,31.28,31.57,30.99,31.28,5483500,31.28
2015-04-27,31.56,31.88,30.98,31.31,6278900,31.31
2015-04-24,32.47,33.04,31.45,31.81,15491300,31.81
2015-04-23,34.56,35.18,34.01,34.96,5499900,34.96
2015-04-22,34.34,34.72,34.19,34.56,5192700,34.56
2015-04-21,34.37,34.76,34.37,34.55,4681500,34.55
2015-04-20,34.48,34.65,34.28,34.52,4884900,34.52
2015-04-17,35.08,35.19,34.66,35.10,2389300,35.10
2015-04-16,35.38,35.54,35.15,35.31,2629900,35.31
2015-04-15,35.75,36.19,35.52,36.15,2283500,36.15
2015-04-14,36.23,36.40,36.10,36.12,1587900,36.12
2015-04-13,36.10,36.44,36.00,36.22,1836400,36.22
2015-04-10,36.16,36.32,35.99,36.31,1637800,36.31
2015-04-09,35.76,36.06,35.68,36.02,2343000,36.02
2015-04-08,35.59,35.85,35.42,35.78,1840900,35.78
2015-04-07,34.57,35.17,34.53,35.07,4800400,35.07
2015-04-06,34.73,34.82,34.51,34.55,1754100,34.55
2015-04-02,34.65,34.78,34.59,34.64,1259100,34.64
2015-04-01,34.83,35.00,34.56,34.64,3328800,34.64
2015-03-31,35.58,35.61,35.08,35.08,2854300,35.08
2015-03-30,35.77,35.98,35.63,35.78,1994700,35.78
2015-03-27,35.29,35.67,34.97,35.50,3689100,35.50
2015-03-26,34.77,35.20,34.38,34.95,5433000,34.95
2015-03-25,35.78,35.86,34.99,35.02,2490300,35.02
2015-03-24,35.87,36.01,35.72,35.72,2635500,35.72
2015-03-23,35.71,36.16,35.63,35.99,1924500,35.99
2015-03-20,36.36,36.65,36.11,36.11,2089500,36.11
2015-03-19,35.92,36.35,35.87,35.98,2136800,35.98
2015-03-18,35.40,36.30,35.40,36.20,2186300,36.20
2015-03-17,35.70,35.81,35.44,35.69,1772700,35.69
2015-03-16,35.76,36.18,35.54,36.12,1963600,36.12
2015-03-13,35.16,35.30,35.05,35.21,1471300,35.21
2015-03-12,34.89,35.45,34.87,35.23,1998200,35.23
2015-03-11,34.63,34.97,34.40,34.63,1951800,34.63
2015-03-10,34.73,34.78,34.47,34.69,3289600,34.69
2015-03-09,34.75,35.20,34.65,34.83,3341800,34.83
2015-03-06,35.37,35.51,35.08,35.24,3223400,35.24
2015-03-05,36.00,36.09,35.36,35.49,3921200,35.49
2015-03-04,36.47,36.72,36.05,36.12,2273600,36.12
2015-03-03,36.87,37.09,36.81,36.88,2448600,36.88
2015-03-02,36.71,36.71,36.45,36.60,1613000,36.60
2015-02-27,36.71,36.90,36.44,36.71,2299200,36.71
2015-02-26,36.37,36.69,36.28,36.58,1403400,36.58
2015-02-25,37.00,37.22,36.56,36.77,2250900,36.77
2015-02-24,36.31,36.79,36.28,36.75,1563300,36.75
2015-02-23,36.37,36.45,36.15,36.19,1827600,36.19
2015-02-20,36.58,36.96,36.44,36.92,1523400,36.92
2015-02-19,36.88,37.28,36.81,37.20,2041600,37.20
2015-02-18,36.56,36.57,36.43,36.50,2018500,36.50
2015-02-17,36.32,36.51,35.94,36.17,2483200,36.17
2015-02-13,36.88,37.00,36.47,36.60,1471900,36.60
2015-02-12,36.86,37.04,36.59,36.73,2671500,36.73
2015-02-11,36.38,36.61,36.22,36.33,1637900,36.33
2015-02-10,36.49,36.61,36.05,36.49,2009700,36.49
2015-02-09,35.85,36.47,35.71,36.20,2712300,36.20
2015-02-06,35.69,36.10,35.55,35.77,2471000,35.77
2015-02-05,35.14,35.75,35.14,35.75,2320400,35.75
2015-02-04,34.86,35.24,34.64,34.78,2135400,34.78
2015-02-03,34.54,34.61,34.23,34.52,1964000,34.52
2015-02-02,34.69,34.74,34.05,34.35,1830100,34.35
2015-01-30,34.55,34.67,34.05,34.08,2431400,34.08
2015-01-29,34.94,34.94,34.16,34.62,2599200,34.62
2015-01-28,35.38,35.53,35.10,35.14,2451100,35.14
2015-01-27,34.83,35.41,34.75,35.14,3307500,35.14
2015-01-26,35.45,35.82,35.45,35.69,2046700,35.69
2015-01-23,35.78,35.85,35.30,35.50,3521400,35.50
2015-01-22,35.49,35.82,35.24,35.80,3086300,35.80
